날짜,발표처,제목,웹주소
2016-07-19,대한민국정책포털 korea.kr,괌 사드기지서 한국군이 전자파 측정…기준치의 0.007% 불과,=HYPERLINK("http://www.korea.kr/policy/diplomacyView.do?newsId=148818574&amp;pWise=main&amp;pWiseMain=E1")
2016-07-19,IPnomics,내년부터 AI에 생활법률 상담 받는다…법무부 대화형 플랫폼 구축,=HYPERLINK("http://www.ipnomics.co.kr/?p=53514")
2016-07-19,한겨레,SKT-CJ헬로 인수합병 결국 무산…“유감이지만 수용”,=HYPERLINK("http://www.hani.co.kr/arti/economy/economy_general/752818.html")
2016-07-19,보안뉴스,인공지능 결합 CCTV 사람의 눈 아닌 두뇌 대신하나,=HYPERLINK("http://www.boannews.com/media/view.asp?idx=51253")
2016-07-19,한국대학신문,최호성 경남대 교수팀 과학영재 창의연구 지원센터 지정,=HYPERLINK("http://news.unn.net/news/articleView.html?idxno=161591")
2016-07-19,법률저널,국가직 여성공무원 49.4% '매해 증가',=HYPERLINK("http://www.lec.co.kr/news/articleView.html?idxno=41237")
2016-07-19,한국대학신문,김형수 아주대 교수팀 지질 대사물질 합성법 개발,=HYPERLINK("http://news.unn.net/news/articleView.html?idxno=161551")
2016-07-19,동아일보,[HOT100] 서울권 4년제 대학으로는 첫 개설 '건국대 화장품공학과',=HYPERLINK("http://news.donga.com/List/3/all/20160719/79271407/1")
2016-07-19,전자신문,[ET단상]스마트폰 앱 선탑에서 알아야 할 교훈,=HYPERLINK("http://www.etnews.com/20160718000216")
2016-07-19,서울경제,대한민국 엔지니어상 7월 수상자 김남식·이길종 씨,=HYPERLINK("http://www.sedaily.com/NewsView/1KYWX3KPY9/GD05")
2016-07-19,뉴스토마토,ICT대연합 '2016년 프로보노 데이' 성황리 개최,=HYPERLINK("http://www.newstomato.com/ReadNews.aspx?no=673567")
2016-07-19,디지털타임스,가장 큰 피해자 케이블TV… IPTV 공세 속 사면초가 우려,=HYPERLINK("http://www.dt.co.kr/contents.html?article_no=2016071902100431104001")
2016-07-19,트래블바이크뉴스,'GIF 2016 강원' 27일부터 강릉서 개최,=HYPERLINK("http://www.travelnbike.com/news/articleView.html?idxno=22606")
2016-07-19,대덕넷,국제물리올림피아드 우리나라 종합 1위,=HYPERLINK("http://hellodd.com/?md=news&mt=view&pid=58657")
2016-07-19,MBN,이화여대 연구진 신소재 기반 고효율 디스플레이소자 개발,=HYPERLINK("http://mbn.mk.co.kr/pages/news/newsView.php?news_seq_no=2952368&page=1")
2016-07-19,매일경제,홈앤쇼핑 | 2기 맞은 홈앤쇼핑 중소기업의 동반자,=HYPERLINK("http://vip.mk.co.kr/news/view/21/20/1419385.html")
2016-07-19,JTBC,박 대통령 귀국길…성주 '사드 사태' 해법 주목,=HYPERLINK("http://news.jtbc.joins.com/html/629/NB11274629.html")
2016-07-19,아시아투데이,미래부 소프트로봇 개발에 7년간 125억원 투입,=HYPERLINK("http://www.asiatoday.co.kr/view.php?key=20160719010008513")
2016-07-19,대한민국정책포털 korea.kr,한·몽골 우호…'몽골 한류'로 한걸음 더,=HYPERLINK("http://www.korea.kr/celebrity/contributePolicyView.do?newsId=148818331&pWise=people1")
2016-07-19,대한민국정책포털 korea.kr,한국형발사체 시험발사 연기 결정된바 없다,=HYPERLINK("http://www.korea.kr/policy/actuallyView.do?newsId=148818531&amp;pWise=main&amp;pWiseMain=G1")
2016-07-19,대구신문,경일대 정보올림피아드 전국대회 개최…학생 600여명 참가,=HYPERLINK("http://www.idaegu.co.kr/news.php?mode=view&num=202823")
2016-07-19,이투뉴스,이산화탄소 포집·저장 기술 동향 논의,=HYPERLINK("http://www.e2news.com/news/articleView.html?idxno=94526")
2016-07-19,세계일보,우정사업본부 '2016 대한민국 우표전시회' 개최,=HYPERLINK("http://www.segye.com/content/html/2016/07/18/20160718002899.html")
2016-07-19,데이터넷 (보도자료) (가입),TTA 디지털사이니지 테스트베드 구축 사업 참가 기관 모집,=HYPERLINK("http://www.datanet.co.kr/news/articleView.html?idxno=102006")
2016-07-19,경기일보,경기문화창조허브 스타트업 6곳 성과 창출하며 '명예 졸업',=HYPERLINK("http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1208809")
2016-07-19,미디어펜,게도 구럭도 다 놓친 SKT-CJ헬로비전 합병 불허,=HYPERLINK("http://www.mediapen.com/news/view/169169")
2016-07-19,매일경제,일양약품 신약 기술수출 확대로 최고 실적 기대,=HYPERLINK("http://vip.mk.co.kr/news/view/21/20/1419368.html")
2016-07-19,한국에너지신문,햇빛 재활용해 물로 수소에너지 더 많이 만든다,=HYPERLINK("http://www.koenergy.co.kr/news/articleView.html?idxno=83146")
2016-07-19,뉴스프라이데이,공기정화식물! 실내 공간 배치 꿀팁,=HYPERLINK("https://newsfriday.com/1548148/%EA%B3%B5%EA%B8%B0%EC%A0%95%ED%99%94%EC%8B%9D%EB%AC%BC-%EC%8B%A4%EB%82%B4-%EA%B3%B5%EA%B0%84-%EB%B0%B0%EC%B9%98-%EA%BF%80%ED%8C%81/")
